DATE: 2022-04-02 04:09:51 PM|Action: addAppointmentMTLA0000|MTLM123456|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM123456/ AppointmentType: DENTAL/ NumofAppointment: 2 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 04:11:50 PM|Action: Appointment BookedMTLM123456 | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM123456/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:02:57 PM|Action: Appointment BookedSHEN121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:03:44 PM|Action: Appointment BookedMTLE140222;Success | Parameters: USER: mtlserverMTLA121212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:03:57 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:03:57 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:03:57 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEE121212PHYSICIAN][SHEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:06:33 PM|Action: Appointment CancelledQUEE121212;Success | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:06:33 PM|Action: Appointment BookedMTLN140222;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLN140222/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:06:33 PM|Action: Appointment SwappedQUEE121212PHYSICIANtoMTLN140222PHYSICIAN | Parameters: USER: QUEserverTOMTLserverMTLA1212/ oldAppointmentId: QUEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: MTLN140222/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:06:33 PM|Action: Sending request to que server for swapappointmentQUEE121212PHYSICIANtoMTLN140222PHYSICIAN | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: QUEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: MTLN140222/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:06:46 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:06:46 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:06:46 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLN140222SURGEON][][SHEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:21:34 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:21:34 PM|Action: Appointment BookedSHEA121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:21:34 PM|Action: Appointment BookedSHEA121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:21:44 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEA121212DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:21:44 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[SHEA121212DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:22:25 PM|Action: Appointment not CancelledSHEA1212 | Parameters: USER: SHEserverMTLA1212/ AppointmentId: SHEA1212/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-03 02:22:25 PM|Action: Appointment not SwappedSHEA1212DENTALtoMTLA140222DENTAL | Parameters: USER: sheserverMTLA1212/ oldAppointmentId: SHEA1212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLA140222/ newAppointmentType: DENTAL | Action Status: FAILED | Resonse: false
DATE: 2022-04-03 02:22:25 PM|Action: Sending request to she server for swapappointmentSHEA1212DENTALtoMTLA140222DENTAL | Parameters: USER: MONservertoSHEserverMTLA1212/ oldAppointmentId: SHEA1212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLA140222/ newAppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:25:49 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 02:25:49 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 02:25:49 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 02:26:37 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:26:37 PM|Action: Appointment BookedSHEA121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:26:37 PM|Action: Appointment BookedSHEA121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:27:18 PM|Action: Appointment CancelledSHEA121212 | Parameters: USER: SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:27:18 PM|Action: Appointment BookedMTLE140222;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:27:18 PM|Action: Appointment SwappedSHEA121212DENTALtoMTLE140222DENTAL | Parameters: USER: SHEserverTOmtlMTLA1212/ oldAppointmentId: SHEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLE140222/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:27:18 PM|Action: Sending request to she server for swapappointmentSHEA121212DENTALtoMTLE140222DENTAL | Parameters: USER: MONservertoSHEserverMTLA1212/ oldAppointmentId: SHEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLE140222/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:27:43 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:27:43 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:28:27 PM|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:28:27 PM|Action: Appointment BookedQUEN121212;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:28:27 PM|Action: Appointment SwappedMTLE140222PHYSICIANtoQUEN121212PHYSICIAN | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: MTLE140222/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: QUEN121212/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:30:29 PM|Action: Appointment not CancelledQUEN121212;Failed | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEN121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-04-03 02:30:29 PM|Action: Appointment not SwappedQUEN121212PHYSICIANtoSHEE121212PHYSICIAN | Parameters: USER: QUEserverMTLA1212/ oldAppointmentId: QUEN121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEE121212/ newAppointmentType: PHYSICIAN | Action Status: FAILED | Resonse: false
DATE: 2022-04-03 02:30:29 PM|Action: Sending request to que server for swapappointmentQUEN121212PHYSICIANtoSHEE121212PHYSICIAN | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: QUEN121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEE121212/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:15:17 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 03:15:17 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 03:15:17 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 03:15:57 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:15:57 PM|Action: Appointment BookedSHEA121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:15:57 PM|Action: Appointment BookedSHEA121212 | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 03:17:09 PM|Action: Appointment not CancelledSHEA121212 | Parameters: USER: SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DETAL | Action Status: failed | Resonse: false
DATE: 2022-04-03 03:17:09 PM|Action: Appointment not SwappedSHEA121212DETALtoMTLA140222DETAL;Failed | Parameters: USER: QUEserverMTLA1212/ oldAppointmentId: SHEA121212/ oldAppointmentType: DETAL/ NewAppointmentId: MTLA140222/ newAppointmentType: DENTAL | Action Status: FAILED | Resonse: false
DATE: 2022-04-03 03:17:47 PM|Action: Appointment CancelledSHEA121212 | Parameters: USER: SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:17:47 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:17:47 PM|Action: Appointment SwappedSHEA121212DENTALtoMTLA140222DENTAL;Success | Parameters: USER: SHEserverTOmtlMTLA1212/ oldAppointmentId: SHEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLA140222/ newAppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:17:47 PM|Action: Sending request to she server for swapappointmentSHEA121212DENTALtoMTLA140222DENTAL;Success | Parameters: USER: MONservertoSHEserverMTLA1212/ oldAppointmentId: SHEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLA140222/ newAppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:18:01 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:18:16 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:18:16 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL][] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:19:06 PM|Action: Appointment CancelledMTLA140222 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:19:07 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:19:07 PM|Action: Appointment SwappedMTLA140222DENTALtoQUEE121212DENTAL;Success | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: MTLA140222/ oldAppointmentType: DENTAL/ NewAppointmentId: QUEE121212/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-04 01:53:28 PM|Action: addAppointmentMTLA0000|MTLM230322|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM230322/ AppointmentType: DENTAL/ NumofAppointment: 4 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 01:54:16 PM|Action: addAppointmentMTLA0000|MTLM240322|SURGEON | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM240322/ AppointmentType: SURGEON/ NumofAppointment: 6 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 01:54:29 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-04 01:54:29 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-04 01:54:29 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM230322=Appointment{Number of Appoinntment='4}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}, MTLM240322=Appointment{Number of Appoinntment='6}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-04 02:05:15 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-04 02:05:15 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-04 02:05:15 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-04 02:06:03 PM|Action: addAppointmentMTLA0000|MTLM230322|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM230322/ AppointmentType: DENTAL/ NumofAppointment: 4 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 02:06:14 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-04 02:06:14 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-04 02:06:14 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM230322=Appointment{Number of Appoinntment='4}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-04 02:06:49 PM|Action: Appointment BookedMTLM230322;Success | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM230322/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 02:07:24 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLM230322DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-04 02:15:30 PM|Action: Appointment not BookedMTLM852012;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLM852012/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 03:04:22 PM|Action: addAppointmentMTLA0000|MTLM231020|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM231020/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:04:58 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-04 03:04:58 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-04 03:04:58 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM231020=Appointment{Number of Appoinntment='5}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-04 03:08:08 PM|Action: addAppointmentMTLA0000|MTLM232323|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232323/ AppointmentType: DENTAL/ NumofAppointment: 9 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:08:08 PM|Action: addAppointmentMTLA0000|MTLM232323|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232323/ AppointmentType: DENTAL/ NumofAppointment: 9 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:37:50 PM|Action: addAppointmentMTLA0000|MTLM232022|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232022/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:39:02 PM|Action: addAppointmentMTLA0000|MTLM232221|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232221/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:40:37 PM|Action: Appointment BookedMTLM232022;Success | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM232022/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 03:43:26 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLM232022DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-04 03:43:26 PM|Action: Appointment BookedSHEM232221 | Parameters: USER: sheserverMTLP8520/ AppointmentId: SHEM232221/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 03:43:26 PM|Action: Appointment BookedSHEM232221 | Parameters: USER:SHEserverMTLP8520/ AppointmentId: SHEM232221/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:43:49 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEM232221PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-04 03:43:49 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLM232022DENTAL][SHEM232221PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-04 03:45:16 PM|Action: Appointment CancelledSHEM232221 | Parameters: USER: SHEserverMTLP8520/ AppointmentId: SHEM232221/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-04 03:45:16 PM|Action: Appointment not BookedMTLM232022 | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLM232022/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 03:45:16 PM|Action: Appointment BookedSHEM232221 | Parameters: USER: sheserverMTLP8520/ AppointmentId: SHEM232221/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 03:45:16 PM|Action: Appointment not SwappedSHEM232221PHYSICIANtoMTLM232022PHYSICIAN;Failed | Parameters: USER: SHEservertomtlserverMTLP8520/ oldAppointmentId: SHEM232221/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: MTLM232022/ newAppointmentType: DENTAL | Action Status: FAILED | Resonse: false
DATE: 2022-04-04 04:54:32 PM|Action: addAppointmentMTLA0000|MTLM232022|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232022/ AppointmentType: DENTAL/ NumofAppointment: 2 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 04:55:21 PM|Action: Appointment BookedMTLM232022;Success | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM232022/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 04:55:44 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLM232022DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-04 04:56:22 PM|Action: Appointment not BookedMTLM250222;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLM250222/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-04-04 04:57:08 PM|Action: Appointment not BookedMTLM852041;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLM852041/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 04:57:55 PM|Action: Appointment not BookedMTLE987654;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLE987654/ AppointmentType: SURGEON | Action Status: failed | Resonse: false
DATE: 2022-04-04 04:59:39 PM|Action: Appointment not BookedMTLM232022 | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLM232022/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:06:29 PM|Action: addAppointmentMTLA0000|MTLM230222|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM230222/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 05:07:23 PM|Action: Appointment BookedMTLM230222;Success | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM230222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 05:07:50 PM|Action: Appointment not BookedMTLME852010;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLME852010/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:10:32 PM|Action: Appointment not BookedMTLE8524;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLE8524/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:10:59 PM|Action: Appointment not BookedMTLE852010;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLE852010/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:11:24 PM|Action: Appointment not BookedMTLA963741;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLA963741/ AppointmentType: SURGEON | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:12:46 PM|Action: Appointment not BookedMTLE852041;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLE852041/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:13:20 PM|Action: addAppointmentMTLA0000|MTLM232022|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232022/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 05:13:38 PM|Action: Appointment BookedMTLM232022;Success | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM232022/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-04 05:14:15 PM|Action: Appointment not BookedMTLE987654;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLE987654/ AppointmentType: SURGEON | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:15:21 PM|Action: Appointment not BookedMTLM654321;Failed | Parameters: USER:mtlserverMTLP8520/ AppointmentId: MTLM654321/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-04-04 05:22:56 PM|Action: addAppointmentMTLA0000|MTLM232022|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM232022/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 05:23:54 PM|Action: Appointment BookedMTLM232022;Success | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM232022/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
